0	Feeder support 2x8 mm	9.2	0	0	00330832S01
1	Screw set for 8mm feeder	4	0	0	00326412-01
2	Feeder module 8mm S-II tape SIPLACE 80	940	0	0	00141096 S04
3	Plug-in axle type 8/12/16	4.2	0	0	00306969-01
4	Cable for belt feed module	36.8	0	0	00308626 S02
5	Component tub for tape feeding modul	0.65	0	0	00347437 S01
6	Dice 20*20*20mm	0.1	0	0	00314808 S01
7	Spring plate	4	0	0	00315911 S04
8	Pedestal complete	145.38	0	0	00321183 S02
9	Insert for 8mm S-feeder	189.75	0	0	00310418 S10
10	Control panel, membrane key	17.7	0	0	00325586 S01
11	Pressure spring 0,5*5,5*20,5	0.1	0	0	00327202 S01
12	Strip oscillating crank	31.05	0	0	00315928-01
13	Strip board	1.43	0	0	00308996 S02
14	Locking	3.66	0	0	00308978 S02
15	Adjusting screw	0.48	0	0	00322245 S01
16	Fork light barrier	6.6	0	0	00308620 S02
17	Roll 1	0.54	0	0	00310383 S02
18	Feeding track (in front)	425.5	0	0	00343828 S03
19	Cover sheet left side SII	3	0	0	00326535 S01
20	Cover sheet right side SII	3	0	0	00326534 S01
21	Long-lok-screw	1.23	0	0	00321064 S03
22	Components cover	29.9	0	0	00309036 S05
23	Strip removal edge 8mm	14.54	0	0	00310385 S05
24	Absorber 3.2X2.8X1.9 ELASTO MH 24-45	0.29	0	0	00373415-02
25	Driver for component-cover	3	0	0	00310422 S01
26	Absorber butyl black WS-N 5129	0.22	0	0	00358995 S01
27	Compresson spring 0,16*1,36*6,7	0.1	0	0	00308948 S01
28	Lifting magnet-hand SII	20.82	0	0	00327199 S01
29	Protection ring	0.86	0	0	00315132 S03
30	Plate-spring, zinced	0.43	0	0	00327189 S01
31	Axle SII	4	0	0	00326532 S01
32	Flap	3.82	0	0	00310387 S05
33	Spring	0.12	0	0	00310388 S01
34	Sealing 6x13,5x3mm	0.1	0	0	00345309 S01
35	Stripping device 1	3.66	0	0	00309046 S03
36	Stripping device 2	3.82	0	0	00310435 S06
37	Compression spring 0,5*3,5*20,7 V2A	0.1	0	0	00309103 S01
38	Toothed wheel unit - above	89.25	0	0	00309050 S02
39	Ball bearing, radial deep groove	3.49	0	0	00302712 S01
40	Toothed wheel unit â€“ below	20.68	0	0	00327026 S01
41	Strip disposal drive SII	120.75	0	0	00327025 S01
42	Flap	1.5	0	0	00310427 S04
43	Deflection	2	0	0	00310425 S03
44	Cable cover 2 SII	4	0	0	00326537 S01
45	Feeder support 3x8 mm	0.1	0	0	00349418-01
46	Rocker complete	68.45	0	0	00341886 S03
47	Rocker, center, complete	68.45	0	0	00341883 S03
48	Compression spring 0,63x3,2x22,5	0.1	0	0	00349556 S01
49	Axis (rocker)	1.32	0	0	00341770 S01
50	Strip oscillation crank set	114.75	0	0	00341702 S01
51	Compression spring 0,6x5,0x21,45-EN 10270-3	0.1	0	0	03050591 S01
52	Tape spring	0.75	0	0	00344945 S01
53	Drive complete	1736.5	0	0	00343996 S04
54	Control panel 3x8mm S	40.25	0	0	00345183 S01
55	Connection cable for 3x8mm S feeder	35.65	0	0	00345356 S01
56	Foil insert guide	586.5	0	0	00343831 S03
57	Control pcb	166.54	0	0	00345355 S03
58	Window axis	0.28	0	0	00344108 S01
59	Pick-up window complete	69	0	0	00342023 S04
60	Strip removal plate	14.49	0	0	00344104 S02
61	Lifting magnet cpl.	235.75	0	0	00344109 S05
62	Cover front, complete	2.2	0	0	00345830 S02
63	Stripping device plate	6	0	0	00341941 S01
64	Stripping device plate	6	0	0	00345150 S01
65	Drive complete f. 0201	2334.5	0	0	00354060 S03
66	Tape foil cover	8	0	0	00354225 S01
67	Pick-up window	42.55	0	0	00354058 S02
68	Cover front, complete	2.2	0	0	00345830 S02
69	Connecting cable 12-56mm	36.80	0	0	00325454 S01
70	Filler block 12/16mm	3.82	0	0	00322745 S01
71	Special screw	0.6	0	0	00322343 S01
72	Pick-up window	39.69	0	0	00322753 S04
73	Removal edge	3.82	0	0	00324482 S01
74	Compression spring 0,16*1,36*6,7	0.1	0	0	00308948 S01
75	Transmitter unit	26.45	0	0	00324931 S01
76	Sealing transmitter block	0.01	0	0	00332583 S01
77	Tape support	15.5	0	0	00322249 S01
78	Compression spring 0,5*3,5*20,7 V2A	0.1	0	0	00309103 S01
79	Belt clip for 12mm belt	3	0	0	00322273 S02
80	Holder fan light	4.2	0	0	00349428 S01
81	Lifting magnet complete	42.55	0	0	00323187 S01
82	Driver complete	3.66	0	0	00322748 S01
83	Spacer front	1	0	0	00322338-02
84	Chair section 12-16mm with pins	126.5	0	0	00341746 S02
85	Counter plate with pins	126.6	0	0	00341747 S02
86	Chair section 24-32mm with pins	126.5	0	0	00341745 S02
